,,,,,,,
,,,,,,,
,Time,status,note,stop time,run time,total stop time,total run time
,2025/11/23 12:30:04,start,,0:00:00,2:00:50,,
,2025/11/23 14:30:54,stop,FXキッカーTDC MPS発報,0:02:33,0:00:00,,
,2025/11/23 14:33:27,start,,0:00:00,1:00:32,,
,2025/11/23 15:33:59,stop,,0:07:35,0:00:00,,
,2025/11/23 15:41:34,start,,0:00:00,1:16:11,,
,2025/11/23 16:57:45,stop,MR:FXキッカーTDC MPS発報,0:01:46,0:00:00,,
,2025/11/23 16:59:31,start,,0:00:00,0:07:15,,
,2025/11/23 17:06:46,stop,BLM MPS発報 リセット,0:01:01,0:00:00,,
,2025/11/23 17:07:47,start,,0:00:00,0:45:53,,
,2025/11/23 17:53:40,stop,,0:12:12,0:00:00,,
,2025/11/23 18:05:52,start,,0:00:00,1:40:05,,
,2025/11/23 19:45:57,stop,HD MPS,0:07:12,0:00:00,,
,2025/11/23 19:53:09,start, ,0:00:00,0:43:20,,
,2025/11/23 20:36:29,stop,BLM MPS,0:01:02,0:00:00,,
,2025/11/23 20:37:31,start,,0:00:00,0:20:50,,
,2025/11/23 20:58:21,stop,A+B -> A only,0:04:54,0:00:00,,
,2025/11/23 21:03:15,start,,0,0,,
,2025/11/23 00:01:09,stop,,24:03:17,0:00:00,,
,2025/11/24 00:04:26,start,,0:00:00,1:09:35,,
,2025/11/24 01:14:01,stop,B lline 入域,0:05:58,0:00:00,,
,2025/11/24 01:19:59,start,,0:00:00,0:26:25,,
,2025/11/24 01:46:24,stop,,34:12:52,0:00:00,,
,2025/11/25 11:59:16,start,,0:00:00,0:11:49,,
,2025/11/25 12:11:05,end,swiched to K1.8 due to DAQ problem,0,0,12:48:13,32:40:05
,2025/11/25 12:41:19,start,swiched to K1.8BR,0:00:00,0:03:24,,
,2025/11/25 12:44:43,end,swiched to K1.8 due to DAQ problem,0,0,0:00:00,0:03:24
,2025/11/25 13:54:54,start,swiched to K1.8BR,0:00:00,0:38:03,,
,2025/11/25 14:32:57,stop,HD:B-Line BLM MPS,0:11:23,0:00:00,,
,2025/11/25 14:44:20,start,,0:00:00,5:00:19,,
,2025/11/25 19:44:39,end,Bライン実験標的へのビーム調整の為,0,0,0:11:23,5:38:21
,2025/11/25 15:27:01,start,,0:00:00,4:13:26,,
,2025/11/25 19:40:27,stop,HD:電磁石 MPS発報,0:28:02,0:00:00,,
,2025/11/25 20:08:29,start,,0:00:00,2:40:24,,
,2025/11/25 22:48:53,stop,HD MPS,0:38:04,0:00:00,,
,2025/11/25 23:26:57,start,,0:00:00,3:06:07,,
,2025/11/26 02:33:04,stop,A only -> A+B line,0:10:59,0:00:00,,
,2025/11/26 02:44:03,start,,0:00:00,0:33:17,,
,2025/11/26 03:17:21,stop,MR:入射キッカーTDC MPS発報(MR Inhibit),0:02:02,0:00:00,,
,2025/11/26 03:19:23,start,,0:00:00,0:36:31,,
,2025/11/26 03:55:54,stop,MR:入射キッカーTDC MPS発報(MR Inhibit),0:01:31,0:00:00,,
,2025/11/26 03:57:25,start,,0:00:00,0:55:06,,
,2025/11/26 04:52:31,stop,MR:入射キッカーTDC MPS発報(MR Inhibit),0:02:19,0:00:00,,
,2025/11/26 04:54:50,start,,0:00:00,0:05:57,,
,2025/11/26 05:00:47,stop,MR:入射キッカーTDC MPS発報(MR Inhibit),0:01:49,0:00:00,,
,2025/11/26 05:02:36,start,,0:00:00,0:03:08,,
,2025/11/26 05:05:44,stop,MR:入射キッカーTDC MPS発報(MR Inhibit),0:01:01,0:00:00,,
,2025/11/26 05:06:45,start,,0:00:00,0:04:09,,
,2025/11/26 05:10:54,stop,MR:入射キッカーTDC MPS発報(MR Inhibit),0:04:08,0:00:00,,
,2025/11/26 05:15:02,start,,0:00:00,0:10:51,,
,2025/11/26 05:25:54,stop,MR:入射キッカーTDC MPS発報(MR Inhibit),0:06:51,0:00:00,,
,2025/11/26 05:32:45,start,,0:00:00,0:26:17,,
,2025/11/26 05:59:02,stop,MR:入射キッカーTDC MPS発報(MR Inhibit),0:07:15,0:00:00,,
,2025/11/26 06:06:17,start,,0:00:00,1:34:21,,
,2025/11/26 07:40:38,stop,MR:入射キッカーTDC MPS発報(MR Inhibit),0:03:23,0:00:00,,
,2025/11/26 07:44:01,start,,0:00:00,1:16:02,,
,2025/11/26 09:00:03,end,,0,0,1:47:22,15:45:35
,,,,,,,
,,,,0,0,,
